Reef ID,ReefName,X_COORD,Y_COORD,Area_HA,Zone,MgmtArea,MgmtAreaCode,MgmtAreaShort
16-060,Michaelmas Reef (16-060),146.019,-16.582,3322.015,Marine National Park,Northern Management Area,2,Northern
16-067,Milln Reef (16-067),146.265,-16.778,2491.555,Marine National Park,Northern Management Area,2,Northern
16-071,Moore Reef (16-071),146.213,-16.874,4300.329,Marine National Park,Northern Management Area,2,Northern
16-074,Briggs Reef (16-074),146.207,-16.938,120.65,Marine National Park,Northern Management Area,2,Northern
17-012,Normanby-Mabel Reef (17-012),146.077,-17.21,97.054,Marine National Park,Northern Management Area,2,Northern
18-017,Reg Ward Reef (18-017),146.785,-18.032,314.182,Marine National Park,Central Management Area,3,Central
18-019,Barnett Patches (18-019),146.853,-18.06,4817.76,Marine National Park,Central Management Area,3,Central
18-030,Kelso Reef (18-030),146.99,-18.436,1284.609,Marine National Park,Central Management Area,3,Central
18-031,Little Kelso Reef (18-031),146.993,-18.469,469.57,Marine National Park,Central Management Area,3,Central
18-074,Yankee Reef (18-074),147.499,-18.561,668.316,Marine National Park,Central Management Area,3,Central
18-076,Helix Reef (18-076),147.298,-18.625,158.002,Marine National Park,Central Management Area,3,Central
18-081,Knife Reef (18-081),147.572,-18.576,1620.477,Marine National Park,Central Management Area,3,Central
18-083,Fork Reef (18-083),147.554,-18.608,3093.281,Marine National Park,Central Management Area,3,Central
18-087,Anzac Reefs (No 1) (18-087),147.857,-18.694,719.158,Marine National Park,Central Management Area,3,Central
18-091,Lynchs Reef (18-091),147.708,-18.77,4227.684,Marine National Park,Central Management Area,3,Central
18-095,Wheeler Reef (18-095),147.526,-18.798,290.454,Marine National Park,Central Management Area,3,Central
18-099,Saville-Kent Reef (18-099),147.883,-18.859,2393.932,Marine National Park,Central Management Area,3,Central
18-101,Judith Wright Reef (18-101),147.951,-18.9,3964.614,Marine National Park,Central Management Area,3,Central
19-054,Tiger Reef (19-054),148.549,-19.201,4195.766,Marine National Park,Central Management Area,3,Central
19-135,Hardy Reef (19-135),149.233,-19.76,4289.183,Marine National Park,Central Management Area,3,Central
19-137,Bait Reef (19-137),149.074,-19.807,606.06,Marine National Park,Central Management Area,3,Central
